,time,month,quarter,day_week
0,18,1,1,2
1,18,1,1,2
2,18,1,1,2
3,18,1,1,2
4,18,1,1,2
5,1,2,1,5
6,19,2,1,2
7,19,2,1,2
8,19,2,1,2
9,19,2,1,2
10,19,2,1,2
11,19,3,1,1
12,19,3,1,1
13,14,3,1,5
14,20,4,2,1
15,20,4,2,1
16,21,4,2,1
17,22,4,2,1
18,22,4,2,1
19,22,4,2,1
20,22,4,2,1
21,22,4,2,1
22,22,4,2,1
23,14,4,2,2
24,23,1,1,1
25,23,1,1,1
26,23,1,1,1
27,23,1,1,1
28,23,1,1,1
29,1,2,1,4
30,1,3,1,4
31,5,3,1,3
32,5,3,1,3
33,1,3,1,0
34,21,4,2,5
35,21,4,2,5
36,18,4,2,2
37,18,4,2,2
38,0,1,1,0
39,0,1,1,0
40,0,1,1,0
41,0,1,1,0
42,0,1,1,0
43,0,1,1,0
44,0,1,1,0
45,0,1,1,0
46,0,1,1,0
47,0,1,1,0
48,0,1,1,0
49,0,1,1,0
50,0,1,1,0
51,0,1,1,0
52,0,1,1,0
53,0,1,1,0
54,23,1,1,0
55,18,1,1,1
56,1,2,1,2
57,7,1,1,1
58,7,1,1,1
59,7,1,1,1
60,7,1,1,1
61,7,1,1,1
62,1,2,1,3
63,16,2,1,2
64,21,2,1,0
65,21,2,1,0
66,21,2,1,0
67,21,2,1,0
68,21,2,1,0
69,21,2,1,0
70,23,2,1,0
71,23,2,1,0
72,23,2,1,0
73,19,2,1,3
74,19,2,1,3
75,19,2,1,3
76,21,1,1,3
77,21,1,1,3
78,21,1,1,3
79,15,1,1,0
80,9,1,1,3
81,9,1,1,3
82,9,1,1,3
83,9,1,1,3
84,9,1,1,3
85,9,1,1,3
86,9,1,1,3
87,9,1,1,3
88,16,2,1,1
89,17,2,1,2
90,9,2,1,3
91,9,2,1,3
92,9,2,1,3
93,10,2,1,3
94,11,2,1,4
95,11,2,1,4
96,11,2,1,4
97,11,2,1,4
98,18,2,1,4
99,19,3,1,4
